,Cont,tc,td,tr,ac,tp1,dp1,tt,tp1.1,p,leb.b,l6.b,uhc,gdp20
Madagascar,Africa,18001,267,17447,287,641,10,102830,3664,28062073,58.82,15.38,24,1558322
Malawi,Africa,8575,225,5826,2524,442,12,95736,4938,19387584,44.73,13.96,43,941595
Malaysia,Asia,135992,551,108109,27332,4174,17,3626785,111305,32584252,72.8,18.09,71,25815752
Maldives,Asia,14109,49,13336,724,25863,90,342119,627123,545537,70.96,17.95,59,21726246
Mali,Africa,7600,298,5291,2011,370,14,136739,6653,20554128,52.64,16.02,35,2290432
Malta,Europe,14396,233,11841,2322,32558,527,543558,1229308,442166,77.87,20.81,81,40762856
Mauritania,Africa,15512,384,13435,1693,3291,81,131440,27887,4713333,61.96,17.12,36,5484329
Mauritius,Africa,539,10,514,15,423,8,289552,227477,1272887,71.17,17.83,62,19601256
Mexico,North America,1524036,133204,1143254,247578,11755,1027,3854077,29727,129646877,74.41,21.57,76,17790325
Mongolia,Asia,1429,2,896,531,432,0.6,740477,223979,3306009,73.56,19.21,67,11597920
Montenegro,Europe,52431,725,42288,9418,83474,1154,196536,312902,628108,69.35,18.41,69,18855649
Morocco,Africa,452532,7743,424896,19893,12184,208,4614140,124233,37140976,50.69,15.23,43,7198398
Mozambique,Africa,21939,192,17535,4212,692,6,288674,9103,31711045,59.99,15.43,59,1210147
Myanmar,Asia,130604,2846,114049,13709,2392,52,1997934,36590,54602598,53.32,14.64,61,4899647
Namibia,Africa,28259,254,24292,3713,11017,99,228783,89193,2565029,65.26,17.59,51,9022961
Nepal,Asia,264780,1917,258441,4422,9003,65,1982246,67397,29411575,78.01,21.32,85,3392137
Netherlands,Europe,872847,12361,NA,NA,50880,721,6352647,370309,17154972,78.57,22.38,85,54021849
New Zealand,Oceania,2219,25,2119,75,444,5,1438446,287568,5002100,73.26,20.06,71,38857295
Nicaragua,North America,6097,166,4225,1706,915,25,NA,NA,6666063,50.35,15.79,35,5146140
Niger,Africa,3877,126,2386,1365,157,5,66389,2692,24659603,53.63,16.19,42,1185078
Nigeria,Africa,100087,1358,80030,18699,479,7,1025560,4912,208804573,78.53,21.97,86,4792356
Norway,Europe,55474,472,46611,8391,10191,87,2975796,546657,5443630,60.08,15.72,42,61358708
Oman,Asia,130608,1508,122867,6233,25242,291,571472,110444,5174335,77.23,23.32,76,28295096
Pakistan,Asia,502416,10644,456969,34803,2252,48,7088014,31765,223138764,63.29,16.35,41,4881895
Panama,North America,279196,4455,219144,55597,64177,1024,1434663,329774,4350439,74.8,22.02,68,28414381
Papua New Guinea,Oceania,811,9,755,47,90,1,39761,4400,9035821,74.42,22.31,77,3652651
Paraguay,South America,115733,2405,91443,21885,16122,335,586641,81720,7178667,69.03,17.64,57,11828403
Peru,South America,1035184,38280,969863,27041,31168,1153,5667879,170650,33213393,73.7,19.2,74,10895054
Philippines,Asia,487684,9405,458196,20083,4419,85,7025152,63663,110348422,76.58,21.21,81,8111319
Poland,Europe,1385763,31189,1123318,231256,36637,825,7642615,202054,37824589,71.29,15.93,69,31919160
Portugal,Europe,483689,7803,369108,106778,47509,766,5956940,585110,10180895,76.21,20.69,85,31344393
